iter	Passed	Remaining
1274	4807	3110
1275	4811	3106
1276	4814	3103
1277	4818	3099
1278	4822	3095
1279	4826	3091
1280	4829	3087
1281	4833	3084
1282	4837	3080
1283	4841	3076
1284	4845	3073
1285	4849	3069
1286	4852	3065
1287	4856	3061
1288	4860	3058
1289	4864	3054
1290	4868	3050
1291	4871	3046
1292	4875	3043
1293	4879	3039
1294	4883	3035
1295	4888	3032
1296	4891	3028
1297	4895	3024
1298	4899	3021
1299	4903	3017
1300	4907	3013
1301	4911	3010
1302	4916	3007
1303	4920	3003
1304	4924	2999
1305	4927	2996
1306	4932	2992
1307	4935	2988
1308	4940	2985
1309	4943	2981
1310	4947	2977
1311	4950	2973
1312	4954	2969
1313	4958	2965
1314	4961	2961
1315	4965	2958
1316	4969	2954
1317	4973	2951
1318	4977	2947
1319	4981	2943
1320	4985	2939
1321	4989	2936
1322	4992	2932
1323	4996	2928
1324	5000	2924
1325	5004	2921
1326	5008	2917
1327	5012	2913
1328	5016	2910
1329	5020	2906
1330	5024	2902
1331	5027	2899
1332	5032	2895
1333	5036	2891
1334	5039	2888
1335	5043	2884
1336	5047	2880
1337	5050	2876
1338	5054	2872
1339	5058	2868
1340	5062	2865
1341	5066	2861
1342	5069	2857
1343	5073	2853
1344	5077	2850
1345	5081	2846
1346	5085	2842
1347	5089	2839
1348	5092	2835
1349	5096	2831
1350	5100	2827
1351	5104	2823
1352	5108	2820
1353	5113	2817
1354	5117	2813
1355	5122	2810
1356	5126	2806
1357	5130	2803
1358	5134	2799
1359	5138	2795
1360	5142	2792
1361	5146	2788
1362	5150	2784
1363	5154	2781
1364	5158	2777
1365	5162	2774
1366	5166	2770
1367	5170	2766
1368	5173	2762
1369	5177	2758
1370	5181	2755
1371	5185	2751
1372	5188	2747
1373	5192	2743
1374	5196	2740
1375	5200	2736
1376	5204	2732
1377	5207	2728
1378	5211	2724
1379	5215	2721
1380	5219	2717
1381	5223	2713
1382	5226	2709
1383	5230	2705
1384	5234	2702
1385	5238	2698
1386	5241	2694
1387	5245	2690
1388	5249	2686
1389	5253	2683
1390	5257	2679
1391	5260	2675
1392	5264	2672
1393	5268	2668
1394	5272	2664
1395	5276	2660
1396	5280	2657
1397	5283	2653
1398	5287	2649
1399	5291	2645
1400	5295	2642
1401	5299	2638
1402	5303	2634
1403	5306	2630
1404	5310	2626
1405	5314	2623
1406	5318	2619
1407	5322	2615
1408	5325	2611
1409	5329	2608
1410	5333	2604
1411	5337	2600
1412	5340	2596
1413	5344	2592
1414	5348	2589
1415	5352	2585
1416	5355	2581
1417	5359	2577
1418	5362	2573
1419	5367	2570
1420	5371	2566
1421	5375	2562
1422	5379	2559
1423	5382	2555
1424	5386	2551
1425	5390	2547
1426	5394	2544
1427	5398	2540
1428	5402	2536
1429	5407	2533
1430	5411	2529
1431	5415	2526
1432	5419	2522
1433	5423	2518
1434	5426	2514
1435	5431	2511
1436	5434	2507
1437	5438	2503
1438	5441	2499
1439	5445	2496
1440	5449	2492
1441	5453	2488
1442	5457	2484
1443	5461	2481
1444	5466	2477
1445	5469	2473
1446	5473	2470
1447	5477	2466
1448	5481	2462
1449	5484	2458
1450	5488	2455
1451	5492	2451
1452	5496	2447
1453	5500	2443
1454	5503	2439
1455	5507	2436
1456	5511	2432
1457	5515	2428
1458	5519	2425
1459	5523	2421
1460	5527	2417
1461	5530	2413
1462	5534	2409
1463	5538	2406
1464	5542	2402
1465	5546	2398
1466	5549	2394
1467	5553	2390
1468	5556	2386
1469	5560	2383
1470	5564	2379
1471	5568	2375
1472	5572	2372
1473	5576	2368
1474	5580	2364
1475	5584	2360
1476	5588	2357
1477	5593	2353
1478	5597	2350
1479	5609	2350
1480	5617	2347
1481	5621	2344
1482	5626	2340
1483	5630	2337
1484	5634	2333
1485	5638	2329
1486	5642	2325
1487	5647	2322
1488	5651	2318
1489	5654	2315
1490	5659	2311
1491	5663	2307
1492	5667	2304
1493	5671	2300
1494	5675	2296
1495	5683	2294
1496	5687	2291
1497	5691	2287
1498	5695	2283
1499	5699	2279
1500	5703	2276
1501	5707	2272
1502	5715	2270
1503	5719	2266
1504	5723	2262
1505	5728	2259
1506	5732	2255
1507	5737	2252
1508	5741	2248
1509	5745	2244
1510	5749	2241
1511	5754	2237
1512	5758	2234
1513	5762	2230
1514	5766	2226
1515	5771	2223
1516	5774	2219
1517	5778	2215
1518	5782	2211
1519	5786	2207
1520	5790	2204
1521	5794	2200
1522	5797	2196
1523	5801	2192
1524	5806	2189
1525	5810	2185
1526	5814	2181
1527	5818	2178
1528	5823	2174
1529	5827	2170
1530	5831	2167
1531	5836	2163
1532	5840	2160
1533	5845	2156
1534	5849	2153
1535	5854	2149
1536	5858	2145
1537	5862	2142
1538	5867	2138
1539	5871	2135
1540	5875	2131
1541	5879	2127
1542	5883	2123
1543	5887	2120
1544	5891	2116
1545	5894	2112
1546	5898	2108
1547	5902	2104
1548	5906	2100
1549	5910	2097
1550	5915	2094
1551	5919	2090
1552	5923	2086
1553	5927	2082
1554	5931	2078
1555	5935	2075
1556	5940	2071
1557	5944	2067
1558	5948	2064
1559	5952	2060
1560	5956	2056
1561	5960	2053
1562	5964	2049
1563	5968	2045
1564	5973	2041
1565	5976	2038
1566	5980	2034
1567	5984	2030
1568	5988	2026
1569	5992	2022
1570	5996	2019
1571	6000	2015
1572	6004	2011
1573	6008	2007
1574	6012	2004
1575	6016	2000
1576	6020	1996
1577	6024	1992
1578	6028	1989
1579	6032	1985
1580	6037	1982
1581	6042	1978
1582	6045	1974
1583	6050	1971
1584	6056	1967
1585	6060	1964
1586	6065	1960
1587	6069	1956
1588	6073	1953
1589	6078	1949
1590	6082	1945
1591	6086	1942
1592	6092	1938
1593	6096	1935
1594	6100	1931
1595	6104	1927
1596	6109	1924
1597	6113	1920
1598	6117	1916
1599	6121	1913
1600	6126	1909
1601	6131	1906
1602	6136	1902
1603	6143	1899
1604	6149	1896
1605	6153	1892
1606	6158	1889
1607	6163	1885
